TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
0.00      0.00000        60.00000       8.00000        2.00000        0.00000        1.00000        0.00000        0.00000        0.10000        
0.25      2.00000        60.50000       8.00000        2.25000        -0.04500       -0.45375       0.00000        0.02500        0.10000        
0.50      4.00000        61.06250       7.98875        2.13656        -0.09000       -0.45797       -3.04274       0.05000        0.10000        
0.75      5.99719        61.59664       7.96625        2.02207        -0.13494       -0.46197       -2.94755       0.07500        0.10000        
1.00      7.98875        62.10216       7.93252        1.90658        -0.17975       -0.46577       -2.85741       0.10000        0.10000        
1.25      9.97188        62.57880       7.88758        1.79014        -0.22437       -0.46934       -2.77329       0.12500        0.10000        
1.50      11.94377       63.02633       7.83149        1.67280        -0.26873       -0.47270       -2.69566       0.15000        0.10000        
1.75      13.90164       63.44453       7.76430        1.55463        -0.31279       -0.47583       -2.62465       0.17500        0.10000        
2.00      15.84272       63.83319       7.68611        1.43567        -0.35646       -0.47875       -2.56007       0.20000        0.10000        
2.25      17.76425       64.19211       7.59699        1.31598        -0.39970       -0.48144       -2.50158       0.22500        0.10000        
2.50      19.66350       64.52110       7.49707        1.19562        -0.44243       -0.48391       -2.44870       0.25000        0.10000        
2.75      21.53776       64.82001       7.38646        1.07464        -0.48460       -0.48615       -2.40094       0.27500        0.10000        
3.00      23.38438       65.08867       7.26531        0.95311        -0.52615       -0.48817       -2.35779       0.30000        0.10000        
3.25      25.20071       65.32694       7.13377        0.83106        -0.56702       -0.48995       -2.31876       0.32500        0.10000        
3.50      26.98415       65.53471       6.99202        0.70858        -0.60714       -0.49151       -2.28341       0.35000        0.10000        
3.75      28.73215       65.71185       6.84023        0.58570        -0.64647       -0.49284       -2.25133       0.37500        0.10000        
4.00      30.44221       65.85828       6.67862        0.46249        -0.68495       -0.49394       -2.22215       0.40000        0.10000        
4.25      32.11187       65.97390       6.50738        0.33900        -0.72252       -0.49480       -2.19556       0.42500        0.10000        
4.50      33.73871       66.05865       6.32675        0.21530        -0.75912       -0.49544       -2.17127       0.45000        0.10000        
4.75      35.32040       66.11247       6.13697        0.09144        -0.79471       -0.49584       -2.14903       0.47500        0.10000        
5.00      36.85464       66.13533       5.93829        -0.03252       -0.82923       -0.49601       -2.12863       0.50000        0.10000        
5.25      38.33921       66.12720       5.73098        -0.15652       -0.86263       -0.49595       -2.10986       0.52500        0.10000        
5.50      39.77196       66.08807       5.51533        -0.28051       -0.89487       -0.49566       -2.09258       0.55000        0.10000        
5.75      41.15079       66.01794       5.29161        -0.40443       -0.92589       -0.49513       -2.07662       0.57500        0.10000        
6.00      42.47369       65.91683       5.06014        -0.52821       -0.95566       -0.49438       -2.06187       0.60000        0.10000        
6.25      43.73873       65.78478       4.82122        -0.65180       -0.98412       -0.49339       -2.04820       0.62500        0.10000        
