PATH      TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
1         0.00      -90.00000      60.00000       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
2         0.00      75.00000       -10.00000      0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
1         0.25      -90.00000      60.00000       0.00000        0.00000        0.59087        -0.80677       0.00000        0.00000        0.00000        
2         0.25      75.00000       -10.00000      0.00000        0.00000        -0.31623       -0.94868       0.00000        0.00000        0.00000        
1         0.50      -90.00000      60.00000       0.14772        -0.20169       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         0.50      75.00000       -10.00000      -0.07906       -0.23717       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         0.75      -89.96307      59.94958       0.29544        -0.40338       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         0.75      74.98023       -10.05929      -0.15811       -0.47434       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.00      -89.88921      59.84873       0.44315        -0.60507       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.00      74.94070       -10.17788      -0.23717       -0.71151       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.25      -89.77843      59.69746       0.59087        -0.80677       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.25      74.88141       -10.35576      -0.31623       -0.94868       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.50      -89.63071      59.49577       0.73859        -1.00846       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.50      74.80235       -10.59293      -0.39528       -1.18585       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.75      -89.44606      59.24366       0.88631        -1.21015       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.75      74.70353       -10.88939      -0.47434       -1.42303       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.00      -89.22449      58.94112       1.03402        -1.41184       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.00      74.58495       -11.24515      -0.55340       -1.66020       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.25      -88.96598      58.58817       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.25      74.44659       -11.66020      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.50      -88.67055      58.18478       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.50      74.28848       -12.13454      -0.71151       -2.13454       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.75      -88.33818      57.73098       1.47718        -2.01692       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.75      74.11060       -12.66817      -0.79057       -2.37171       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.00      -87.96889      57.22675       1.62489        -2.21861       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.00      73.91296       -13.26110      -0.86963       -2.60888       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.25      -87.56266      56.67210       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.25      73.69556       -13.91332      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.50      -87.11951      56.06702       1.92033        -2.62199       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.50      73.45839       -14.62483      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.75      -86.63943      55.41152       2.06805        -2.82368       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.75      73.22122       -15.33634      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.00      -86.12241      54.70560       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.00      72.98405       -16.04786      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.25      -85.67926      54.10052       1.92033        -2.62199       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.25      72.74689       -16.75937      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.50      -85.19918      53.44503       2.06805        -2.82368       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.50      72.50972       -17.47088      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.75      -84.68217      52.73911       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.75      72.27255       -18.18239      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.00      -84.23901      52.13403       1.92033        -2.62199       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.00      72.03539       -18.89391      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.25      -83.75893      51.47853       2.06805        -2.82368       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.25      71.79822       -19.60542      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.50      -83.24192      50.77261       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.50      71.56105       -20.31693      -0.94869       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.75      -82.79877      50.16753       1.92033        -2.62199       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.75      71.32388       -21.02844      -0.94869       -2.84605       -0.99975       0.02220        -2.81984       0.00000        0.00000        
1         6.00      -82.31869      49.51204       2.06805        -2.82368       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.00      71.08670       -21.73995      -1.19862       -2.84050       -0.99929       0.03773        -1.54860       0.00000        0.00000        
1         6.25      -81.80167      48.80611       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.25      70.78704       -22.45008      -1.44845       -2.83107       -0.99857       0.05343        -1.53306       0.00000        0.00000        
1         6.50      -81.35852      48.20104       1.92033        -2.62199       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.50      70.42493       -23.15784      -1.69809       -2.81771       -0.99759       0.06935        -1.51734       0.00000        0.00000        
1         6.75      -80.87844      47.54554       2.06805        -2.82368       0.59087        -0.80676       2.50945        0.00000        0.00000        
2         6.75      70.00040       -23.86227      -1.94749       -2.80037       -0.99634       0.08551        -1.50139       0.00000        0.00000        
1         7.00      -80.36143      46.83962       1.77261        -2.42030       0.59087        -0.80676       2.50945        0.00000        0.00000        
2         7.00      69.51353       -24.56236      -2.19657       -2.77899       -0.99479       0.10196        -1.48518       0.00000        0.00000        
1         7.25      -79.91827      46.23454       1.92033        -2.62199       0.85925        0.51156        2.50945        0.00000        0.00000        
2         7.25      68.96439       -25.25711      -2.44527       -2.75350       -0.99293       0.11873        -1.46866       0.00000        0.00000        
1         7.50      -79.43819      45.57904       2.13514        -2.49410       0.85020        0.52646        1.03380        0.00000        0.00000        
2         7.50      68.35307       -25.94549      -2.69350       -2.72382       -0.99073       0.13587        -1.45178       0.00000        0.00000        
1         7.75      -78.90441      44.95552       2.34769        -2.36248       0.84084        0.54129        1.01636        0.00000        0.00000        
2         7.75      67.67970       -26.62644      -2.94118       -2.68985       -0.98816       0.15342        -1.43451       0.00000        0.00000        
1         8.00      -78.31749      44.36490       2.55790        -2.22716       0.83115        0.55605        0.99883        0.00000        0.00000        
2         8.00      66.94440       -27.29891      -2.30657       -1.91827       -0.98520       0.17144        -1.41677       0.00000        0.00000        
1         8.25      -77.67802      43.80811       2.76569        -2.08815       0.82110        0.57079        0.98117        0.00000        0.00000        
2         8.25      66.36775       -27.77847      -2.55287       -1.87541       -0.98278       0.18479        -1.39851       0.00000        0.00000        
1         8.50      -76.98660      43.28607       2.97097        -1.94545       0.81066        0.58551        0.96333        0.00000        0.00000        
2         8.50      65.72954       -28.24733      -2.79856       -1.82921       -0.98011       0.19846        -1.38493       0.00000        0.00000        
1         8.75      -76.24385      42.79971       2.60983        -1.47946       0.79982        0.60025        0.94529        0.00000        0.00000        
2         8.75      65.02990       -28.70463      -2.58979       -1.51426       -0.97716       0.21249        -1.37101       0.00000        0.00000        
1         9.00      -75.59139      42.42984       2.80978        -1.32940       0.79056        0.61239        0.92699        0.00000        0.00000        
2         9.00      64.38245       -29.08319      -2.83408       -1.46114       -0.97442       0.22474        -1.35668       0.00000        0.00000        
1         9.25      -74.88895      42.09749       2.79389        -1.09279       0.78096        0.62458        0.91172        0.00000        0.00000        
2         9.25      63.67393       -29.44848      -2.72909       -1.24582       -0.97143       0.23733        -1.34412       0.00000        0.00000        
1         9.50      -74.19048      41.82430       2.98913        -0.93664       0.77172        0.63596        0.89621        0.00000        0.00000        
2         9.50      62.99166       -29.75993      -2.97195       -1.18649       -0.96855       0.24882        -1.33118       0.00000        0.00000        
1         9.75      -73.44319      41.59013       2.91424        -0.71220       0.76213        0.64743        0.88154        0.00000        0.00000        
2         9.75      62.24867       -30.05655      -2.83175       -0.99054       -0.96543       0.26065        -1.31934       0.00000        0.00000        
1         10.00     -72.71463      41.41208       2.95395        -0.52361       0.75300        0.65802        0.86659        0.00000        0.00000        
2         10.00     61.54073       -30.30419      -2.87259       -0.86500       -0.96246       0.27141        -1.30710       0.00000        0.00000        
1         10.25     -71.97614      41.28118       2.98060        -0.34064       0.74398        0.66820        0.85261        0.00000        0.00000        
2         10.25     60.82259       -30.52044      -2.90624       -0.74415       -0.95948       0.28178        -1.29594       0.00000        0.00000        
1         10.50     -71.23100      41.19602       2.99550        -0.16421       0.73509        0.67797        0.83901        0.00000        0.00000        
2         10.50     60.09603       -30.70647      -2.93350       -0.62818       -0.95648       0.29179        -1.28515       0.00000        0.00000        
1         10.75     -70.48212      41.15497       3.00000        0.00499        0.72634        0.68733        0.82580        0.00000        0.00000        
2         10.75     59.36265       -30.86352      -2.95509       -0.51716       -0.95349       0.30144        -1.27470       0.00000        0.00000        
1         11.00     -69.73212      41.15622       2.99538        0.16647        0.71775        0.69630        0.81299        0.00000        0.00000        
2         11.00     58.62388       -30.99281      -2.97170       -0.41112       -0.95049       0.31075        -1.26460       0.00000        0.00000        
1         11.25     -68.98327      41.19783       2.98289        0.31996        0.70932        0.70489        0.80056        0.00000        0.00000        
2         11.25     57.88095       -31.09559      -2.98394       -0.31002       -0.94751       0.31973        -1.25482       0.00000        0.00000        
1         11.50     -68.23755      41.27782       2.96369        0.46532        0.70107        0.71310        0.78853        0.00000        0.00000        
2         11.50     57.13497       -31.17309      -2.99237       -0.21377       -0.94454       0.32841        -1.24535       0.00000        0.00000        
1         11.75     -67.49663      41.39416       2.93886        0.60257        0.69299        0.72095        0.77689        0.00000        0.00000        
2         11.75     56.38688       -31.22654      -2.99751       -0.12224       -0.94158       0.33679        -1.23618       0.00000        0.00000        
1         12.00     -66.76191      41.54480       2.90937        0.73181        0.68510        0.72845        0.76563        0.00000        0.00000        
2         12.00     55.63750       -31.25710      -2.99979       -0.03530       -0.93864       0.34489        -1.22729       0.00000        0.00000        
1         12.25     -66.03457      41.72775       2.87610        0.85324        0.67740        0.73562        0.75474        0.00000        0.00000        
2         12.25     54.88755       -31.26592      -2.99963       0.04722        -0.93573       0.35272        -1.21868       0.00000        0.00000        
1         12.50     -65.31554      41.94106       2.83984        0.96712        0.66988        0.74247        0.74422        0.00000        0.00000        
2         12.50     54.13765       -31.25412      -2.99737       0.12551        -0.93284       0.36030        -1.21032       0.00000        0.00000        
1         12.75     -64.60558      42.18284       2.80126        1.07376        0.66255        0.74902        0.73404        0.00000        0.00000        
2         12.75     53.38830       -31.22274      -2.99334       0.19975        -0.92997       0.36764        -1.20221       0.00000        0.00000        
1         13.00     -63.90527      42.45128       2.96689        1.26102        0.65540        0.75529        0.72421        0.00000        0.00000        
2         13.00     52.63997       -31.17280      -2.98781       0.27014        -0.92712       0.37477        -1.19432       0.00000        0.00000        
1         13.25     -63.16355      42.76654       2.72226        1.26067        0.64789        0.76173        0.71471        0.00000        0.00000        
2         13.25     51.89301       -31.10527      -2.98103       0.33688        -0.92429       0.38168        -1.18665       0.00000        0.00000        
1         13.50     -62.48298      43.08170       2.88423        1.45110        0.64104        0.76750        0.70482        0.00000        0.00000        
