PATH      TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
1         0.00      -90.00000      60.00000       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
2         0.00      75.00000       -10.00000      0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
1         0.50      -90.00000      60.00000       0.00000        0.00000        0.59087        -0.80677       0.00000        0.00000        0.00000        
2         0.50      75.00000       -10.00000      0.00000        0.00000        -0.31623       -0.94868       0.00000        0.00000        0.00000        
1         1.00      -90.00000      60.00000       0.29544        -0.40338       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.00      75.00000       -10.00000      -0.15811       -0.47434       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.50      -89.85228      59.79831       0.59087        -0.80677       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.50      74.92094       -10.23717      -0.31623       -0.94868       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.00      -89.55685      59.39493       0.88631        -1.21015       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.00      74.76283       -10.71151      -0.47434       -1.42302       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.50      -89.11369      58.78985       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.50      74.52567       -11.42303      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.00      -88.52282      57.98309       1.47718        -2.01692       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.00      74.20943       -12.37171      -0.79057       -2.37171       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.50      -87.78423      56.97463       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.50      73.81415       -13.55756      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.00      -86.89793      55.76448       2.06805        -2.82368       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.00      73.33981       -14.98059      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.50      -85.86390      54.35264       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.50      72.86546       -16.40361      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.00      -84.97759      53.14249       2.06805        -2.82368       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.00      72.39112       -17.82664      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.50      -83.94357      51.73065       1.77261        -2.42030       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.50      71.91678       -19.24966      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.00      -83.05726      50.52050       2.06805        -2.82368       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         6.00      71.44244       -20.67269      -0.94868       -2.84605       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.50      -82.02323      49.10866       1.77261        -2.42030       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         6.50      70.96809       -22.09571      -0.94868       -2.84605       -0.99896       0.04554        -2.81984       0.00000        0.00000        
1         7.00      -81.13692      47.89851       2.06805        -2.82368       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         7.00      70.49375       -23.51874      -1.44816       -2.82328       -0.99702       0.07712        -1.52524       0.00000        0.00000        
1         7.50      -80.10290      46.48667       1.77261        -2.42030       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         7.50      69.76967       -24.93038      -1.94668       -2.78472       -0.99399       0.10947        -1.49360       0.00000        0.00000        
1         8.00      -79.21659      45.27652       2.06805        -2.82368       0.84593        0.53330        2.50946        0.00000        0.00000        
2         8.00      68.79633       -26.32274      -2.44367       -2.72999       -0.98974       0.14289        -1.46111       0.00000        0.00000        
1         8.50      -78.18257      43.86468       2.49101        -2.55703       0.82520        0.56484        1.00830        0.00000        0.00000        
2         8.50      67.57450       -27.68773      -2.93854       -2.65855       -0.98409       0.17770        -1.42742       0.00000        0.00000        
1         9.00      -76.93707      42.58616       2.90361        -2.27461       0.80301        0.59597        0.97056        0.00000        0.00000        
2         9.00      66.10523       -29.01700      -2.40109       -1.79855       -0.97677       0.21427        -1.39215       0.00000        0.00000        
1         9.50      -75.48526      41.44886       2.57469        -1.53980       0.77912        0.62687        0.93232        0.00000        0.00000        
2         9.50      64.90469       -29.91628      -2.88948       -1.69141       -0.97048       0.24116        -1.35485       0.00000        0.00000        
1         10.00     -74.19791      40.67896       2.96425        -1.22636       0.75916        0.65090        0.89326        0.00000        0.00000        
2         10.00     63.45995       -30.76199      -2.71979       -1.26598       -0.96301       0.26947        -1.32723       0.00000        0.00000        
1         10.50     -72.71579      40.06578       2.89671        -0.78044       0.73777        0.67505        0.86203        0.00000        0.00000        
2         10.50     62.10005       -31.39498      -2.82859       -0.99954       -0.95593       0.29361        -1.29795       0.00000        0.00000        
1         11.00     -71.26743      39.67556       2.97278        -0.40321       0.71785        0.69620        0.82977        0.00000        0.00000        
2         11.00     60.68576       -31.89475      -2.90495       -0.74917       -0.94869       0.31622        -1.27280       0.00000        0.00000        
1         11.50     -69.78104      39.47396       2.99959        -0.04961       0.69832        0.71579        0.80071        0.00000        0.00000        
2         11.50     59.23328       -32.26933      -2.95514       -0.51687       -0.94137       0.33739        -1.24906       0.00000        0.00000        
1         12.00     -68.28125      39.44915       2.98737        0.27501        0.67932        0.73384        0.77305        0.00000        0.00000        
2         12.00     57.75571       -32.52777      -2.98462       -0.30334       -0.93402       0.35723        -1.22665       0.00000        0.00000        
1         12.50     -66.78757      39.58666       2.94567        0.56835        0.66096        0.75042        0.74684        0.00000        0.00000        
2         12.50     56.26340       -32.67944      -2.99804       -0.10834       -0.92669       0.37583        -1.20550       0.00000        0.00000        
1         13.00     -65.31474      39.87083       2.88282        0.83028        0.64328        0.76563        0.72210        0.00000        0.00000        
2         13.00     54.76437       -32.73361      -2.99921       0.06896        -0.91940       0.39333        -1.18550       0.00000        0.00000        
1         13.50     -63.87333      40.28597       2.80569        1.06213        0.62633        0.77956        0.69878        0.00000        0.00000        
2         13.50     53.26477       -32.69913      -2.99119       0.22970        -0.91216       0.40983        -1.16654       0.00000        0.00000        
1         14.00     -62.47048      40.81704       2.71974        1.26611        0.61009        0.79233        0.67683        0.00000        0.00000        
2         14.00     51.76917       -32.58428      -2.97644       0.37526        -0.90499       0.42544        -1.14853       0.00000        0.00000        
1         14.50     -61.11061      41.45010       2.62914        1.44486        0.59455        0.80406        0.65617        0.00000        0.00000        
2         14.50     50.28095       -32.39665      -2.95684       0.50702        -0.89786       0.44027        -1.13135       0.00000        0.00000        
1         15.00     -59.79604      42.17252       2.92642        1.84689        0.57967        0.81485        0.63670        0.00000        0.00000        
2         15.00     48.80253       -32.14314      -2.93387       0.62641        -0.89078       0.45444        -1.11489       0.00000        0.00000        
1         15.50     -58.33284      43.09597       2.45664        1.72189        0.56311        0.82638        0.61833        0.00000        0.00000        
2         15.50     47.33559       -31.82993      -2.90863       0.73474        -0.88370       0.46805        -1.09905       0.00000        0.00000        
1         16.00     -57.10452      43.95691       2.73820        2.13508        0.54896        0.83585        0.59814        0.00000        0.00000        
2         16.00     45.88128       -31.46256      -2.88195       0.83329        -0.87661       0.48121        -1.08371       0.00000        0.00000        
1         16.50     -55.73542      45.02446       2.28873        1.93952        0.53306        0.84608        0.58113        0.00000        0.00000        
2         16.50     44.44030       -31.04592      -2.85441       0.92322        -0.86945       0.49402        -1.06877       0.00000        0.00000        
1         17.00     -54.59105      45.99421       2.55526        2.36255        0.51940        0.85453        0.56221        0.00000        0.00000        
2         17.00     43.01310       -30.58430      -2.82644       1.00561        -0.86218       0.50661        -1.05409       0.00000        0.00000        
1         17.50     -53.31342      47.17549       2.81496        2.78982        0.50385        0.86379        0.54615        0.00000        0.00000        
2         17.50     41.59988       -30.08150      -2.79830       1.08144        -0.85472       0.51909        -1.03955       0.00000        0.00000        
1         18.00     -51.90594      48.57040       2.06846        2.17289        0.48566        0.87415        0.52805        0.00000        0.00000        
2         18.00     40.20073       -29.54078      -2.77016       1.15162        -0.84699       0.53161        -1.02501       0.00000        0.00000        
1         18.50     -50.87172      49.65685       2.31129        2.60997        0.47133        0.88196        0.50712        0.00000        0.00000        
2         18.50     38.81565       -28.96497      -2.74206       1.21700        -0.83887       0.54434        -1.01029       0.00000        0.00000        
1         19.00     -49.71607      50.96183       1.92256        2.30299        0.45457        0.89071        0.49080        0.00000        0.00000        
2         19.00     37.44461       -28.35646      -2.71399       1.27838        -0.83020       0.55747        -0.99520       0.00000        0.00000        
1         19.50     -48.75479      52.11333       2.14984        2.74835        0.43962        0.89818        0.47189        0.00000        0.00000        
2         19.50     36.08762       -27.71727      -2.68583       1.33654        -0.82076       0.57127        -0.97946       0.00000        0.00000        
1         20.00     -47.67987      53.48750       1.78626        2.41024        0.42171        0.90673        0.45518        0.00000        0.00000        
2         20.00     34.74471       -27.04900      -2.65737       1.39226        -0.81024       0.58610        -0.96274       0.00000        0.00000        
1         20.50     -46.78674      54.69262       1.99712        2.86361        0.40531        0.91418        0.43534        0.00000        0.00000        
2         20.50     33.41602       -26.35287      -2.62831       1.44637        -0.79814       0.60248        -0.94456       0.00000        0.00000        
1         21.00     -45.78818      56.12443       1.65678        2.50102        0.38499        0.92292        0.41732        0.00000        0.00000        
2         21.00     32.10186       -25.62969      -2.59817       1.49984        -0.78365       0.62120        -0.92420       0.00000        0.00000        
1         21.50     -44.95979      57.37494       1.84928        2.96248        0.36565        0.93075        0.39520        0.00000        0.00000        
2         21.50     30.80278       -24.87977      -2.98999       1.81045        -0.76535       0.64361        -0.90052       0.00000        0.00000        
1         22.00     -44.03515      58.85617       1.52984        2.58062        0.34046        0.94026        0.37433        0.00000        0.00000        
2         22.00     29.30779       -23.97454      -2.53574       1.60313        -0.73496       0.67811        -0.87159       0.00000        0.00000        
1         22.50     -43.27023      60.14648       1.46035        2.62057        0.31499        0.94910        0.34741        0.00000        0.00000        
2         22.50     28.03992       -23.17298      -2.90322       1.94219        0.28599        -0.95823       -0.82561       0.00000        0.00000        
1         23.00     -42.54005      61.45677       1.38973        2.65870        0.28499        0.95853        0.32045        0.00000        0.00000        
2         23.00     26.58831       -22.20189      -2.76023       1.46307        0.30352        -0.95282       2.85156        0.00000        0.00000        
1         23.50     -41.84519      62.78612       1.31632        2.69579        0.24781        0.96881        0.28899        0.00000        0.00000        
2         23.50     25.20819       -21.47035      -2.60846       0.98666        0.32033        -0.94731       2.83320        0.00000        0.00000        
1         24.00     -41.18703      64.13402       1.23761        2.73282        0.19834        0.98013        0.25041        0.00000        0.00000        
2         24.00     23.90396       -20.97702      -2.44830       0.51300        0.33657        -0.94166       2.81551        0.00000        0.00000        
1         24.50     -40.56822      65.50043       1.14939        2.77108        0.12529        0.99212        0.19966        0.00000        0.00000        
2         24.50     22.67981       -20.72052      -2.28001       0.04217        0.35237        -0.93586       2.79832        0.00000        0.00000        
1         25.00     -39.99353      66.88597       1.04344        2.81269        0.81495        -0.57954       0.12562        0.00000        0.00000        
2         25.00     21.53980       -20.69943      -2.10383       -0.42575       0.36787        -0.92988       2.78149        0.00000        0.00000        
1         25.50     -39.47181      68.29232       1.45091        2.52292        0.80634        -0.59145       2.18895        0.00000        0.00000        
2         25.50     20.48789       -20.91231      -1.91989       -0.89069       0.38318        -0.92367       2.76487        0.00000        0.00000        
1         26.00     -38.74635      69.55378       1.85408        2.22720        0.79759        -0.60320       2.20365        0.00000        0.00000        
2         26.00     19.52794       -21.35766      -1.72830       -1.35253       0.39840        -0.91721       2.74836        0.00000        0.00000        
1         26.50     -37.81931      70.66738       2.25288        1.92560        0.78866        -0.61483       2.21830        0.00000        0.00000        
2         26.50     18.66379       -22.03392      -1.52910       -1.81114       0.41365        -0.91044       2.73182        0.00000        0.00000        
1         27.00     -36.69287      71.63018       2.64721        1.61818        0.77950        -0.62640       2.23297        0.00000        0.00000        
2         27.00     17.89924       -22.93949      -1.32228       -2.26635       0.42902        -0.90330       2.71514        0.00000        0.00000        
