PATH      TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
1         0.00      -90.00000      60.00000       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
2         0.00      75.00000       -10.00000      0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
1         0.50      -90.00000      60.00000       0.00000        0.00000        0.59087        -0.80677       0.00000        0.00000        0.00000        
2         0.50      75.00000       -10.00000      0.00000        0.00000        -0.31623       -0.94868       0.00000        0.00000        0.00000        
1         1.00      -90.00000      60.00000       0.29544        -0.40338       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.00      75.00000       -10.00000      -0.15811       -0.47434       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.50      -89.85228      59.79831       0.59087        -0.80677       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.50      74.92094       -10.23717      -0.31623       -0.94868       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.00      -89.55685      59.39493       0.88631        -1.21015       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.00      74.76283       -10.71151      -0.47434       -1.42302       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.50      -89.11369      58.78985       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.50      74.52567       -11.42303      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.00      -88.52282      57.98309       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.00      74.20943       -12.37171      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.50      -87.93195      57.17632       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.50      73.89320       -13.32039      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.00      -87.34107      56.36955       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.00      73.57697       -14.26907      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.50      -86.75020      55.56279       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         4.50      73.26074       -15.21776      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.00      -86.15932      54.75602       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         5.00      72.94451       -16.16644      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.50      -85.56845      53.94925       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         5.50      72.62828       -17.11512      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.00      -84.97758      53.14249       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         6.00      72.31205       -18.06380      -0.63245       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.50      -84.38670      52.33572       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         6.50      71.99582       -19.01249      -0.63245       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         7.00      -83.79583      51.52895       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         7.00      71.67959       -19.96117      -0.63245       -1.89737       -0.31622       -0.94868       -2.81984       0.00000        0.00000        
1         7.50      -83.20496      50.72219       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         7.50      71.36337       -20.90985      -0.63245       -1.89737       -0.31622       -0.94868       -2.81985       0.00000        0.00000        
1         8.00      -82.61408      49.91542       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         8.00      71.04714       -21.85854      -0.63245       -1.89737       -0.99919       0.04033        -2.81985       0.00000        0.00000        
1         8.50      -82.02321      49.10865       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         8.50      70.73092       -22.80722      -1.13204       -1.87720       -0.99812       0.06127        -1.53046       0.00000        0.00000        
1         9.00      -81.43234      48.30189       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         9.00      70.16489       -23.74582      -1.63111       -1.84657       -0.99658       0.08265        -1.50949       0.00000        0.00000        
1         9.50      -80.84148      47.49512       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         9.50      69.34934       -24.66911      -1.52555       -1.29332       -0.99450       0.10470        -1.48805       0.00000        0.00000        
1         10.00     -80.25061      46.68835       1.18174        -1.61353       0.59087        -0.80677       2.50946        0.00000        0.00000        
2         10.00     68.58656       -25.31577      -1.70476       -1.04585       -0.99264       0.12106        -1.46590       0.00000        0.00000        
1         10.50     -79.65974      45.88159       1.18174        -1.61353       0.85441        0.51960        2.50946        0.00000        0.00000        
2         10.50     67.73418       -25.83870      -1.82544       -0.81717       -0.99080       0.13537        -1.44944       0.00000        0.00000        
1         11.00     -79.06888      45.07482       1.60894        -1.35374       0.84304        0.53785        1.02442        0.00000        0.00000        
2         11.00     66.82146       -26.24728      -1.90322       -0.61462       -0.98903       0.14774        -1.43501       0.00000        0.00000        
1         11.50     -78.26440      44.39795       1.76402        -0.94246       0.83112        0.55609        1.00292        0.00000        0.00000        
2         11.50     65.86986       -26.55459      -1.95100       -0.44000       -0.98738       0.15835        -1.42251       0.00000        0.00000        
1         12.00     -77.38239      43.92672       1.91309        -0.58318       0.82020        0.57207        0.98112        0.00000        0.00000        
2         12.00     64.89436       -26.77459      -1.97857       -0.29202       -0.98589       0.16742        -1.41177       0.00000        0.00000        
1         12.50     -76.42585      43.63514       1.98384        -0.25374       0.81007        0.58633        0.96177        0.00000        0.00000        
2         12.50     63.90507       -26.92060      -1.99293       -0.16798       -0.98454       0.17513        -1.40259       0.00000        0.00000        
1         13.00     -75.43393      43.50827       1.99973        0.03300        0.80091        0.59879        0.94428        0.00000        0.00000        
2         13.00     62.90860       -27.00459      -1.99895       -0.06468       -0.98335       0.18170        -1.39475       0.00000        0.00000        
1         13.50     -74.43407      43.52477       1.98109        0.27436        0.79276        0.60953        0.92881        0.00000        0.00000        
2         13.50     61.90913       -27.03693      -1.99989       0.02102        -0.98231       0.18728        -1.38808       0.00000        0.00000        
1         14.00     -73.44352      43.66195       1.94318        0.47333        0.78562        0.61871        0.91533        0.00000        0.00000        
2         14.00     60.90918       -27.02642      -1.99788       0.09196        -0.98139       0.19203        -1.38240       0.00000        0.00000        
1         14.50     -72.47193      43.89862       1.89638        0.63539        0.77942        0.62651        0.90370        0.00000        0.00000        
2         14.50     59.91024       -26.98044      -1.99432       0.15064        -0.98059       0.19607        -1.37757       0.00000        0.00000        
1         15.00     -71.52374      44.21631       1.84727        0.76655        0.77406        0.63311        0.89373        0.00000        0.00000        
2         15.00     58.91308       -26.90512      -1.99006       0.19918        -0.97989       0.19952        -1.37345       0.00000        0.00000        
1         15.50     -70.60011      44.59959       1.79969        0.87242        0.76945        0.63870        0.88523        0.00000        0.00000        
2         15.50     57.91805       -26.80553      -1.98563       0.23935        -0.97929       0.20246        -1.36993       0.00000        0.00000        
1         16.00     -69.70026      45.03580       1.75570        0.95788        0.76550        0.64343        0.87798        0.00000        0.00000        
2         16.00     56.92524       -26.68586      -1.98133       0.27261        -0.97877       0.20498        -1.36693       0.00000        0.00000        
1         16.50     -68.82242      45.51474       1.71622        1.02694        0.76212        0.64744        0.87182        0.00000        0.00000        
2         16.50     55.93457       -26.54955      -1.97734       0.30020        -0.97831       0.20713        -1.36436       0.00000        0.00000        
1         17.00     -67.96431      46.02821       1.68148        1.08288        0.75922        0.65083        0.86658        0.00000        0.00000        
2         17.00     54.94590       -26.39945      -1.97373       0.32310        -0.97792       0.20898        -1.36215       0.00000        0.00000        
1         17.50     -67.12357      46.56965       1.65133        1.12832        0.75675        0.65371        0.86212        0.00000        0.00000        
2         17.50     53.95903       -26.23791      -1.97052       0.34213        -0.97758       0.21057        -1.36026       0.00000        0.00000        
1         18.00     -66.29790      47.13381       1.62543        1.16533        0.75463        0.65615        0.85832        0.00000        0.00000        
2         18.00     52.97377       -26.06684      -1.96770       0.35798        -0.97728       0.21195        -1.35863       0.00000        0.00000        
1         18.50     -65.48519      47.71647       1.60332        1.19556        0.75281        0.65824        0.85509        0.00000        0.00000        
2         18.50     51.98992       -25.88785      -1.96525       0.37120        -0.97702       0.21314        -1.35723       0.00000        0.00000        
1         19.00     -64.68353      48.31425       1.97972        1.52468        0.75125        0.66001        0.85232        0.00000        0.00000        
2         19.00     51.00730       -25.70225      -1.96313       0.38224        -0.97680       0.21417        -1.35601       0.00000        0.00000        
1         19.50     -63.69367      49.07660       1.57132        1.23732        0.74957        0.66193        0.84996        0.00000        0.00000        
2         19.50     50.02573       -25.51113      -1.96131       0.39148        -0.97660       0.21507        -1.35496       0.00000        0.00000        
1         20.00     -62.90801      49.69525       1.94610        1.56828        0.74835        0.66331        0.84741        0.00000        0.00000        
2         20.00     49.04507       -25.31539      -1.95975       0.39922        -0.97643       0.21585        -1.35404       0.00000        0.00000        
1         20.50     -61.93496      50.47939       1.54742        1.26708        0.74702        0.66480        0.84557        0.00000        0.00000        
2         20.50     48.06520       -25.11578      -1.95841       0.40572        -0.97628       0.21653        -1.35324       0.00000        0.00000        
1         21.00     -61.16125      51.11293       1.92093        1.59948        0.74606        0.66588        0.84357        0.00000        0.00000        
2         21.00     47.08599       -24.91292      -1.95727       0.41120        -0.97614       0.21714        -1.35253       0.00000        0.00000        
1         21.50     -60.20079      51.91267       1.52960        1.28853        0.74500        0.66706        0.84212        0.00000        0.00000        
2         21.50     46.10736       -24.70732      -1.95630       0.41582        -0.97602       0.21767        -1.35192       0.00000        0.00000        
1         22.00     -59.43599      52.55694       1.90210        1.62206        0.74423        0.66792        0.84054        0.00000        0.00000        
2         22.00     45.12921       -24.49941      -1.95546       0.41973        -0.97592       0.21814        -1.35137       0.00000        0.00000        
1         22.50     -58.48493      53.36797       1.51631        1.30415        0.74338        0.66887        0.83939        0.00000        0.00000        
2         22.50     44.15148       -24.28955      -1.95475       0.42304        -0.97582       0.21856        -1.35088       0.00000        0.00000        
1         23.00     -57.72678      54.02005       1.88800        1.63859        0.74276        0.66956        0.83811        0.00000        0.00000        
2         23.00     43.17410       -24.07802      -1.95413       0.42586        -0.97574       0.21894        -1.35045       0.00000        0.00000        
1         23.50     -56.78278      54.83934       1.50634        1.31565        0.74206        0.67034        0.83718        0.00000        0.00000        
2         23.50     42.19704       -23.86509      -1.95361       0.42827        -0.97566       0.21928        -1.35007       0.00000        0.00000        
1         24.00     -56.02961      55.49717       1.87737        1.65082        0.74154        0.67091        0.83614        0.00000        0.00000        
2         24.00     41.22023       -23.65096      -1.95316       0.43033        -0.97559       0.21959        -1.34972       0.00000        0.00000        
1         24.50     -55.09093      56.32258       1.49881        1.32423        0.74096        0.67155        0.83536        0.00000        0.00000        
2         24.50     40.24366       -23.43579      -1.95276       0.43210        -0.97553       0.21988        -1.34940       0.00000        0.00000        
1         25.00     -54.34152      56.98470       1.86928        1.66000        0.74052        0.67204        0.83449        0.00000        0.00000        
2         25.00     39.26727       -23.21975      -1.95243       0.43363        -0.97547       0.22014        -1.34911       0.00000        0.00000        
1         25.50     -53.40688      57.81470       1.49306        1.33071        0.74002        0.67259        0.83384        0.00000        0.00000        
2         25.50     38.29106       -23.00293      -1.95213       0.43496        -0.97541       0.22038        -1.34884       0.00000        0.00000        
1         26.00     -52.66035      58.48005       1.86306        1.66700        0.73963        0.67301        0.83309        0.00000        0.00000        
2         26.00     37.31499       -22.78545      -1.95187       0.43612        -0.97536       0.22061        -1.34859       0.00000        0.00000        
1         26.50     -51.72882      59.31355       1.48860        1.33569        0.73919        0.67350        0.83253        0.00000        0.00000        
2         26.50     36.33906       -22.56739      -1.95164       0.43714        -0.97531       0.22083        -1.34836       0.00000        0.00000        
1         27.00     -50.98452      59.98139       1.85820        1.67243        0.73884        0.67388        0.83187        0.00000        0.00000        
2         27.00     35.36324       -22.34882      -1.95144       0.43805        -0.97526       0.22104        -1.34813       0.00000        0.00000        
